name,price,rating,category,features
Haier HEB-362GBA-P 355 L 2 Star Double Door Refrigerator,"₹40,390",--rating: 4.2;,Refrigerator,"['Multi Door', 'Bottom Mounted Freezer', '355 L Capacity', 'Digital LED Panel Display', '2 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Convertible', 'Frost Free']"
Samsung RR21H2G25WR 189 L 5 Star Single Door Refrigerator,"₹18,590",--rating: 4.1;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '189 L Capacity', '5 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Door Lock', 'Removable Gasket']"
LG GLD1816WORR 180 L 1 Star Single Door Refrigerator,"₹15,498",--rating: 4.05;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '180 L Capacity', '1 Star Energy Rating', 'Toughened Glass', 'Door Lock', 'Removable Gasket', 'Normal Compressor']"
MarQ By Flipkart 90BD1MQ26-SG 92 L 1 Star Single Door Mini Refrigerator,"₹8,490",--rating: 4.25;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '92 L Capacity', '1 Star Energy Rating', 'Removable Gasket', 'Reciprocating Compressor', '1 year Product Warranty', '10 years Compressor Warranty']"
Haier HED-205DSA-P 190 L 5 Star Single Door Refrigerator,"₹15,990",--rating: 4.35;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '190 L Capacity', '5 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Door Lock', 'Removable Gasket']"
Haier HFC-325G3 295 L Double Door Glass Top Deep Freezer,"₹33,400",--rating: 4.55;,Refrigerator,"['Chest Freezer', '295 L Capacity', '3 Star Energy Rating', 'Door Lock', '4 years Product Warranty']"
Samsung RT40H28W3Q 236 L 3 Star Double Door Refrigerator,"₹27,490",--rating: 4.5;,Refrigerator,"['Multi Door', 'Top Mounted Freezer', '236 L Capacity', '3 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Frost Free', 'Door Alarm']"
Godrej RD EDGE 205BN TRF BR BL 180 L 2 Star Single Door Refrigerator,"₹12,990",--rating: 4.25;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '180 L Capacity', '2 Star Energy Rating', 'Toughened Glass', 'Removable Gasket', 'Normal', '2 Bottle Shelves']"
Voltas Beko RFF370D/WPV300RXBO 320 L 2 Star Double Door Refrigerator,"₹30,490",--rating: 4.05;,Refrigerator,"['Multi Door', 'Top Mounted Freezer', '320 L Capacity', 'Digital LED Display', '2 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Moisture Control', 'Convertible', 'Frost Free']"
LG GLT2826XWOB 276 L 2 Star Double Door Refrigerator,"₹30,990",--rating: 4.05;,Refrigerator,"['Multi Door', 'Top Mounted Freezer', '276 L Capacity', '2 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Convertible', 'Frost Free', 'Removable Gasket']"
LG GLD1956ZARW 185 L 5 Star Single Door Refrigerator,"₹19,936",--rating: 4.1;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '185 L Capacity', '5 Star Energy Rating', 'Toughened Glass', 'Door Lock', 'Removable Gasket', 'Normal']"
Whirlpool 260 IMPRO PLUS ROY 5S INV 236 L 5 Star Single Door Refrigerator,"₹22,990",--rating: 4.45;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '236 L Capacity', '5 Star Energy Rating', 'Toughened Glass', 'Door Lock', 'Removable Gasket', 'IntelliSense Inverter Compressor']"
Bosch CTC39S21AI 368 L 1 Star Double Door Refrigerator,"₹41,990",--rating: 4.45;,Refrigerator,"['Multi Door', 'Top Mounted Freezer', '368 L Capacity', 'LED Touch Panel Display', '1 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Convertible', 'Frost Free']"
Whirlpool IFPRO INV CNV 355 Illusia Steel-Y 308 L 2 Star Double Door Refrigerator,"₹34,990",--rating: 4.35;,Refrigerator,"['Multi Door', 'Top Mounted Freezer', '308 L Capacity', 'Digital Display', '3 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Convertible', 'Frost Free']"
Samsung RR21H2H25S8 189 L 5 Star Single Door Refrigerator,"₹19,490",--rating: 4.25;,Refrigerator,"['Single Door', 'Top Mounted Freezer', '189 L Capacity', '5 Star Energy Rating', 'Inverter Technology', 'Toughened Glass', 'Door Lock', 'Removable Gasket']"
